Datetimes,"Streamflow, ft&#179;/s"
1990-04-20T14:15:00-05:00,200
1990-04-21T14:15:00.000-05:00,200
1990-04-21T14:15:00-05:00,189
1990-04-22T14:15:00.000-05:00,189
1990-04-22T14:15:00-05:00,173
1990-04-23T14:15:00.000-05:00,173
1990-04-23T14:15:00-05:00,168
1990-04-24T14:15:00.000-05:00,168
1990-04-24T14:15:00-05:00,165
1990-04-25T14:15:00.000-05:00,165
1990-04-25T14:15:00-05:00,153
1990-04-26T14:15:00.000-05:00,153
1990-04-26T14:15:00-05:00,153
1990-04-27T14:15:00.000-05:00,153
1990-04-27T14:15:00-05:00,157
1990-04-28T14:15:00.000-05:00,157
1990-04-28T14:15:00-05:00,157
1990-04-29T14:15:00.000-05:00,157
1990-04-29T14:15:00-05:00,147
1990-04-30T14:15:00.000-05:00,147
1990-04-30T14:15:00-05:00,133
1990-05-01T14:15:00.000-05:00,133
1990-05-01T14:15:00-05:00,125
1990-05-02T14:15:00.000-05:00,125
1990-05-02T14:15:00-05:00,124
1990-05-03T14:15:00.000-05:00,124
1990-05-03T14:15:00-05:00,170
1990-05-04T14:15:00.000-05:00,170
1990-05-04T14:15:00-05:00,191
1990-05-05T14:15:00.000-05:00,191
1990-05-05T14:15:00-05:00,166
1990-05-06T14:15:00.000-05:00,166
1990-05-06T14:15:00-05:00,140
1990-05-07T14:15:00.000-05:00,140
1990-05-07T14:15:00-05:00,125
1990-05-08T14:15:00.000-05:00,125
1990-05-08T14:15:00-05:00,147
1990-05-09T14:15:00.000-05:00,147
1990-05-09T14:15:00-05:00,1040
1990-05-10T14:15:00.000-05:00,1040
1990-05-10T14:15:00-05:00,484
1990-05-11T14:15:00.000-05:00,484
1990-05-11T14:15:00-05:00,451
1990-05-12T14:15:00.000-05:00,451
1990-05-12T14:15:00-05:00,445
1990-05-13T14:15:00.000-05:00,445
1990-05-13T14:15:00-05:00,393
1990-05-14T14:15:00.000-05:00,393
1990-05-14T14:15:00-05:00,408
1990-05-15T14:15:00.000-05:00,408
1990-05-15T14:15:00-05:00,384
1990-05-16T14:15:00.000-05:00,384
1990-05-16T14:15:00-05:00,333
1990-05-17T14:15:00.000-05:00,333
1990-05-17T14:15:00-05:00,280
1990-05-18T14:15:00.000-05:00,280
1990-05-18T14:15:00-05:00,287
1990-05-19T14:15:00.000-05:00,287
1990-05-19T14:15:00-05:00,300
1990-05-20T14:15:00.000-05:00,300
1990-05-20T14:15:00-05:00,262
1990-05-21T14:15:00.000-05:00,262
1990-05-21T14:15:00-05:00,236
1990-05-22T14:15:00.000-05:00,236
1990-05-22T14:15:00-05:00,245
1990-05-23T14:15:00.000-05:00,245
1990-05-23T14:15:00-05:00,405
1990-05-24T14:15:00.000-05:00,405
1990-05-24T14:15:00-05:00,18300
1990-05-25T14:15:00.000-05:00,18300
1990-05-25T14:15:00-05:00,2430
1990-05-26T14:15:00.000-05:00,2430
1990-05-26T14:15:00-05:00,1330
1990-05-27T14:15:00.000-05:00,1330
1990-05-27T14:15:00-05:00,1130
1990-05-28T14:15:00.000-05:00,1130
1990-05-28T14:15:00-05:00,855
1990-05-29T14:15:00.000-05:00,855
1990-05-29T14:15:00-05:00,723
1990-05-30T14:15:00.000-05:00,723
1990-05-30T14:15:00-05:00,638
1990-05-31T14:15:00.000-05:00,638
1990-05-31T14:15:00-05:00,594
1990-06-01T14:15:00.000-05:00,594
1990-06-01T14:15:00-05:00,562
1990-06-02T14:15:00.000-05:00,562
1990-06-02T14:15:00-05:00,524
1990-06-03T14:15:00.000-05:00,524
1990-06-03T14:15:00-05:00,474
1990-06-04T14:15:00.000-05:00,474
1990-06-04T14:15:00-05:00,436
1990-06-05T14:15:00.000-05:00,436
1990-06-05T14:15:00-05:00,423
1990-06-06T14:15:00.000-05:00,423
1990-06-06T14:15:00-05:00,1720
1990-06-07T14:15:00.000-05:00,1720
1990-06-07T14:15:00-05:00,587
1990-06-08T14:15:00.000-05:00,587
1990-06-08T14:15:00-05:00,484
1990-06-09T14:15:00.000-05:00,484
1990-06-09T14:15:00-05:00,405
1990-06-10T14:15:00.000-05:00,405
1990-06-10T14:15:00-05:00,361
1990-06-11T14:15:00.000-05:00,361
1990-06-11T14:15:00-05:00,335
1990-06-12T14:15:00.000-05:00,335
1990-06-12T14:15:00-05:00,358
1990-06-13T14:15:00.000-05:00,358
1990-06-13T14:15:00-05:00,590
1990-06-14T14:15:00.000-05:00,590
1990-06-14T14:15:00-05:00,1840
1990-06-15T14:15:00.000-05:00,1840
1990-06-15T14:15:00-05:00,1500
1990-06-16T14:15:00.000-05:00,1500
1990-06-16T14:15:00-05:00,7260
1990-06-17T14:15:00.000-05:00,7260
1990-06-17T14:15:00-05:00,1600
1990-06-18T14:15:00.000-05:00,1600
1990-06-18T14:15:00-05:00,1150
1990-06-19T14:15:00.000-05:00,1150
1990-06-19T14:15:00-05:00,938
1990-06-20T14:15:00.000-05:00,938
1990-06-20T14:15:00-05:00,1200
1990-06-21T14:15:00.000-05:00,1200
1990-06-21T14:15:00-05:00,1210
1990-06-22T14:15:00.000-05:00,1210
1990-06-22T14:15:00-05:00,1170
1990-06-23T14:15:00.000-05:00,1170
1990-06-23T14:15:00-05:00,851
1990-06-24T14:15:00.000-05:00,851
1990-06-24T14:15:00-05:00,715
1990-06-25T14:15:00.000-05:00,715
1990-06-25T14:15:00-05:00,638
1990-06-26T14:15:00.000-05:00,638
1990-06-26T14:15:00-05:00,583
1990-06-27T14:15:00.000-05:00,583
1990-06-27T14:15:00-05:00,527
1990-06-28T14:15:00.000-05:00,527
1990-06-28T14:15:00-05:00,480
1990-06-29T14:15:00.000-05:00,480
1990-06-29T14:15:00-05:00,439
1990-06-30T14:15:00.000-05:00,439
1990-06-30T14:15:00-05:00,408
1990-07-01T14:15:00.000-05:00,408
1990-07-01T14:15:00-05:00,381
1990-07-02T14:15:00.000-05:00,381
1990-07-02T14:15:00-05:00,355
1990-07-03T14:15:00.000-05:00,355
1990-07-03T14:15:00-05:00,327
1990-07-04T14:15:00.000-05:00,327
1990-07-04T14:15:00-05:00,378
1990-07-05T14:15:00.000-05:00,378
1990-07-05T14:15:00-05:00,619
1990-07-06T14:15:00.000-05:00,619
1990-07-06T14:15:00-05:00,436
1990-07-07T14:15:00.000-05:00,436
1990-07-07T14:15:00-05:00,378
1990-07-08T14:15:00.000-05:00,378
1990-07-08T14:15:00-05:00,319
1990-07-09T14:15:00.000-05:00,319
1990-07-09T14:15:00-05:00,627
1990-07-10T14:15:00.000-05:00,627
1990-07-10T14:15:00-05:00,497
1990-07-11T14:15:00.000-05:00,497
1990-07-11T14:15:00-05:00,417
1990-07-12T14:15:00.000-05:00,417
1990-07-12T14:15:00-05:00,587
1990-07-13T14:15:00.000-05:00,587
1990-07-13T14:15:00-05:00,544
1990-07-14T14:15:00.000-05:00,544
1990-07-14T14:15:00-05:00,414
1990-07-15T14:15:00.000-05:00,414
1990-07-15T14:15:00-05:00,347
1990-07-16T14:15:00.000-05:00,347
1990-07-16T14:15:00-05:00,306
1990-07-17T14:15:00.000-05:00,306
1990-07-17T14:15:00-05:00,275
1990-07-18T14:15:00.000-05:00,275
1990-07-18T14:15:00-05:00,255
1990-07-19T14:15:00.000-05:00,255
1990-07-19T14:15:00-05:00,393
1990-07-20T14:15:00.000-05:00,393
1990-07-20T14:15:00-05:00,349
1990-07-21T14:15:00.000-05:00,349
1990-07-21T14:15:00-05:00,298
1990-07-22T14:15:00.000-05:00,298
1990-07-22T14:15:00-05:00,260
1990-07-23T14:15:00.000-05:00,260
1990-07-23T14:15:00-05:00,243
1990-07-24T14:15:00.000-05:00,243
1990-07-24T14:15:00-05:00,10400
1990-07-25T14:15:00.000-05:00,10400
1990-07-25T14:15:00-05:00,1610
1990-07-26T14:15:00.000-05:00,1610
1990-07-26T14:15:00-05:00,649
1990-07-27T14:15:00.000-05:00,649
1990-07-27T14:15:00-05:00,974
1990-07-28T14:15:00.000-05:00,974
1990-07-28T14:15:00-05:00,608
1990-07-29T14:15:00.000-05:00,608
1990-07-29T14:15:00-05:00,442
1990-07-30T14:15:00.000-05:00,442
1990-07-30T14:15:00-05:00,335
1990-07-31T14:15:00.000-05:00,335
1990-07-31T14:15:00-05:00,285
1990-08-01T14:15:00.000-05:00,285
1990-08-01T14:15:00-05:00,252
1990-08-02T14:15:00.000-05:00,252
1990-08-02T14:15:00-05:00,267
1990-08-03T14:15:00.000-05:00,267
1990-08-03T14:15:00-05:00,252
1990-08-04T14:15:00.000-05:00,252
