Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-02,1.63
2016-01-04,2.66
2016-01-05,2.76
2016-01-07,3.57
2016-01-10,4.18
2016-01-17,5.81
2016-01-24,5.09
2016-01-28,4.99
2016-01-29,4.78
2016-01-31,4.58
2016-02-04,4.17
2016-02-05,4.27
2016-02-09,5.49
2016-02-10,5.79
2016-02-11,6.20
2016-02-13,6.19
2016-02-15,6.09
2016-02-19,5.38
2016-02-26,2.33
2016-03-03,4.25
2016-03-05,4.55
2016-03-11,2.73
2016-03-15,2.63
2016-03-24,5.85
2016-04-05,7.66
2016-04-09,7.65
2016-04-16,4.73
2016-04-18,6.44
2016-04-19,6.74
2016-04-20,6.43
2016-04-21,5.73
2016-04-22,3.22
2016-04-23,3.01
2016-04-24,3.32
2016-04-25,4.92
2016-04-27,4.42
2016-05-01,3.91
2016-05-03,7.02
2016-05-10,6.61
2016-05-11,4.91
2016-05-12,4.61
2016-05-14,3.71
2016-05-16,8.11
2016-05-17,8.61
2016-05-19,8.01
2016-05-23,6.70
2016-05-24,5.80
2016-05-26,5.40
2016-06-01,4.30
2016-06-05,0.80
2016-06-08,4.70
2016-06-12,11.7
2016-06-13,10.5
2016-06-14,8.40
2016-06-15,6.80
2016-06-21,9.80
2016-06-24,8.20
2016-06-27,6.10
2016-06-28,6.30
2016-07-01,4.60
2016-07-06,5.29
2016-07-09,4.41
2016-07-13,1.62
2016-07-15,2.80
2016-07-17,0.46
2016-07-19,0.72
2016-07-21,0.54
2016-07-24,0.17
2016-07-25,0.09
2016-07-30,0.16
2016-07-31,0.16
2016-08-01,0.16
2016-08-04,0.00
2016-08-08,0.00
2016-08-12,0.00
2016-08-17,0.41
2016-08-18,0.41
2016-08-21,0.61
2016-08-22,0.31
2016-08-25,0.31
2016-08-26,0.10
2016-08-27,0.00
2016-08-28,0.00
2016-08-29,0.41
2016-09-01,0.61
2016-09-03,0.41
2016-09-09,0.00
2016-09-13,0.00
2016-09-14,0.00
2016-09-16,0.00
2016-09-17,0.00
2016-09-18,0.79
2016-09-23,0.62
2016-09-24,0.62
2016-09-25,0.10
2016-09-29,0.00
2016-10-03,0.00
2016-10-10,0.00
2016-10-11,0.00
2016-10-15,0.00
2016-10-24,2.24
2016-10-26,4.58
2016-10-29,5.03
2016-10-30,4.84
2016-11-01,4.80
2016-11-06,4.16
2016-11-07,3.24
2016-11-08,3.65
2016-11-09,3.75
2016-11-14,3.23
2016-11-15,3.34
2016-11-19,3.02
2016-11-20,2.71
2016-11-28,1.98
2016-11-30,2.40
2016-12-03,5.64
2016-12-06,6.79
2016-12-07,5.96
2016-12-13,4.81
2016-12-15,4.39
2016-12-20,4.08
2016-12-24,4.19
2016-12-27,3.04
2016-12-28,2.41
2016-12-29,2.51
2017-01-01,7.65
2017-01-03,7.44
2017-01-04,6.40
2017-01-09,5.25
2017-01-10,5.67
2017-01-11,5.25
2017-01-16,3.68
2017-01-31,5.46
2017-02-01,5.31
2017-02-02,5.32
2017-02-04,5.18
2017-02-06,4.84
2017-02-09,4.53
2017-02-10,4.63
2017-02-13,4.42
2017-02-15,4.32
2017-02-16,4.21
