Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-04,2.55
2016-01-07,3.47
2016-01-14,4.18
2016-01-15,5.20
2016-01-20,5.91
2016-02-03,4.27
2016-02-08,5.49
2016-02-09,5.38
2016-02-10,5.59
2016-02-15,5.99
2016-02-17,5.58
2016-02-20,5.48
2016-02-21,3.14
2016-02-22,3.35
2016-02-24,2.23
2016-02-28,2.63
2016-03-06,4.55
2016-03-13,2.53
2016-03-14,2.93
2016-03-18,7.88
2016-03-23,5.96
2016-03-28,3.23
2016-03-31,2.72
2016-04-11,4.23
2016-04-15,3.72
2016-04-18,6.74
2016-04-21,6.13
2016-04-24,3.42
2016-04-25,4.82
2016-04-28,3.11
2016-05-02,5.02
2016-05-21,6.80
2016-05-30,4.40
2016-06-01,4.40
2016-06-03,4.30
2016-06-04,4.00
2016-06-07,4.40
2016-06-12,11.7
2016-06-20,9.10
2016-06-27,5.40
2016-07-04,3.70
2016-07-09,2.35
2016-07-21,0.54
2016-07-25,0.00
2016-07-28,0.17
2016-08-01,0.16
2016-08-17,0.41
2016-08-21,0.71
2016-08-24,0.31
2016-09-05,0.00
2016-09-07,0.00
2016-09-09,0.00
2016-09-11,0.00
2016-09-18,1.10
2016-09-29,0.00
2016-10-01,0.00
2016-10-04,0.00
2016-10-06,0.00
2016-10-09,0.00
2016-10-10,0.00
2016-10-27,5.29
2016-11-12,3.65
2016-11-15,3.34
2016-11-18,3.13
2016-11-22,2.61
2016-11-23,2.40
2016-11-25,2.19
2016-11-26,2.51
2016-12-04,6.90
2016-12-05,6.90
2016-12-08,5.44
2016-12-14,4.50
2016-12-15,4.39
2016-12-23,4.19
2016-12-28,2.93
2017-01-06,5.03
2017-01-11,5.14
2017-01-17,3.47
2017-01-31,5.36
2017-02-03,5.25
2017-02-09,4.53
2017-02-14,4.42
2017-02-19,4.00
2017-02-25,2.95
2017-03-05,1.37
2017-03-06,2.11
2017-03-07,2.11
2017-03-11,1.58
2017-03-13,2.32
2017-03-14,2.32
2017-03-15,2.11
2017-03-23,1.88
2017-03-25,1.77
2017-04-04,1.32
2017-04-07,0.00
2017-04-20,4.91
2017-04-26,3.87
2017-04-28,0.29
2017-05-08,2.07
2017-05-11,2.24
2017-05-20,4.01
2017-05-28,7.94
2017-06-01,7.08
2017-06-05,6.32
2017-06-08,4.95
2017-06-11,4.32
2017-06-18,3.58
2017-06-24,6.74
2017-06-27,1.72
2017-07-04,3.92
2017-07-05,4.88
2017-07-06,4.61
2017-07-07,4.01
2017-07-09,1.94
2017-07-11,1.48
2017-07-14,1.99
2017-07-16,4.58
2017-07-18,1.80
2017-07-20,1.50
2017-07-21,1.30
2017-07-25,0.20
2017-09-10,0.00
2017-09-13,0.00
2017-09-14,0.00
2017-09-16,0.10
2017-09-19,0.10
2017-10-03,0.00
2017-10-06,0.10
2017-10-07,0.10
2017-10-08,0.10
2017-10-14,0.52
2017-10-17,0.52
2017-10-19,0.42
2017-10-23,0.10
2017-10-24,0.10
2017-10-27,0.00
2017-10-30,0.42
2017-11-12,0.63
2017-11-15,0.53
2017-11-25,0.85
2017-11-27,1.06
2017-11-28,1.06
2017-11-30,1.06
2017-12-01,0.85
2017-12-09,0.43
2017-12-18,0.12
2017-12-22,0.13
2017-12-24,0.02
2017-12-26,0.65
2017-12-27,0.23
2018-01-01,0.13
2018-01-02,0.24
2018-01-07,0.56
2018-01-12,0.87
2018-01-17,0.36
2018-01-22,0.98
2018-01-31,1.92
2018-02-13,1.82
2018-02-18,2.03
2018-02-19,1.82
2018-02-21,1.72
2018-03-03,3.59
2018-03-09,4.94
2018-03-10,5.14
2018-03-11,5.25
2018-04-08,1.88
2018-04-12,3.30
2018-04-19,5.40
2018-04-23,5.89
2018-04-24,5.39
2018-04-28,3.65
2018-05-08,2.61
2018-05-09,2.51
2018-05-10,2.41
2018-05-13,2.10
2018-05-14,2.10
2018-05-17,2.39
2018-05-19,2.88
2018-05-20,3.98
2018-05-24,4.96
2018-05-25,5.25
2018-05-31,6.41
2018-06-03,3.23
2018-06-08,7.57
2018-06-14,1.84
2018-06-15,1.74
2018-06-24,2.90
2018-07-01,5.27
2018-07-16,0.88
2018-07-17,0.27
2018-07-21,0.26
2018-07-30,0.12
2018-07-31,0.32
2018-08-10,0.38
2018-08-12,0.27
2018-08-17,0.35
2018-08-19,0.44
2018-08-24,0.63
2018-08-26,0.22
2018-08-29,0.51
2018-09-03,0.22
2018-09-04,0.22
2018-09-09,1.14
2018-09-19,0.5
2018-09-22,0.3
2018-09-25,0.3
2018-09-26,0.8
2018-10-01,2.1
2018-10-11,1.0
2018-10-16,1.3
2018-10-30,1.5
2018-11-04,2.3
2018-11-06,2.9
2018-11-07,2.4
2018-11-09,2.8
2018-11-13,3.5
2018-11-14,3.3
2018-11-21,2.8
2018-11-25,2.4
2018-12-01,2.6
