Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-02,1.84
2016-01-07,3.57
2016-01-08,3.98
2016-01-13,3.67
2016-01-18,5.81
2016-01-21,5.81
2016-01-22,5.71
2016-01-23,5.09
2016-01-28,5.09
2016-01-30,4.78
2016-02-01,4.48
2016-02-02,4.48
2016-02-03,4.27
2016-02-05,4.47
2016-02-09,5.49
2016-02-11,5.99
2016-02-20,5.48
2016-02-25,2.74
2016-02-26,2.53
2016-02-27,2.43
2016-03-10,3.64
2016-03-14,2.83
2016-03-20,8.18
2016-03-24,4.04
2016-03-26,3.03
2016-03-27,3.33
2016-03-28,3.43
2016-04-07,8.66
2016-04-09,7.65
2016-04-10,6.85
2016-04-27,5.62
2016-04-29,3.21
2016-05-01,3.91
2016-05-03,6.32
2016-05-06,9.63
2016-05-08,8.72
2016-05-09,7.22
2016-05-12,3.81
2016-05-14,4.61
2016-05-16,9.01
2016-05-25,5.50
2016-05-27,4.40
2016-05-30,4.40
2016-05-31,4.30
2016-06-02,4.30
2016-06-03,4.10
2016-06-08,4.80
2016-06-10,11.6
2016-06-12,11.0
2016-06-14,8.50
2016-06-22,9.40
2016-06-28,5.60
2016-07-03,3.30
2016-07-08,8.76
2016-07-11,1.83
2016-07-20,0.54
2016-07-22,0.27
2016-07-25,0.09
2016-07-26,0.09
2016-07-30,0.08
2016-08-01,0.49
2016-08-12,0.00
2016-08-13,0.00
2016-08-17,0.20
2016-08-25,0.31
2016-08-26,0.10
2016-08-27,0.00
2016-08-30,0.00
2016-08-31,0.20
2016-09-05,0.00
2016-09-06,0.00
2016-09-09,0.00
2016-09-12,0.00
2016-09-13,0.00
2016-09-16,0.00
2016-09-19,0.45
2016-09-22,0.72
2016-09-26,0.10
2016-09-28,0.00
2016-09-30,0.00
2016-10-06,0.00
2016-10-10,0.00
2016-10-13,0.00
2016-10-16,0.00
2016-10-24,2.35
2016-10-28,5.11
2016-10-30,4.84
2016-10-31,4.65
2016-11-13,3.44
2016-11-17,3.44
2016-11-25,2.40
2016-12-03,5.33
2016-12-10,5.33
2016-12-11,5.33
2016-12-15,4.39
2016-12-18,4.19
2016-12-21,4.19
2016-12-22,3.77
2016-12-26,3.35
2016-12-29,3.35
2017-01-09,5.25
2017-01-12,5.04
2017-01-14,4.51
2017-01-17,1.16
2017-01-31,5.36
2017-02-03,5.06
2017-02-08,4.53
2017-02-09,4.53
2017-02-10,4.53
2017-02-15,4.32
2017-02-16,4.21
2017-02-18,4.21
2017-02-19,3.79
2017-02-24,3.05
2017-03-08,0.00
2017-03-09,1.37
2017-03-11,1.47
2017-03-14,2.32
2017-03-17,2.32
2017-03-21,2.21
2017-03-27,1.45
2017-04-02,1.02
2017-04-04,1.02
2017-04-05,1.83
2017-04-07,0.00
2017-04-08,0.00
2017-04-13,4.89
2017-04-15,7.34
2017-04-19,5.42
2017-04-20,4.81
2017-04-23,4.19
2017-04-25,3.88
2017-04-27,3.67
2017-04-29,0.00
2017-04-30,0.00
2017-05-03,1.62
2017-05-17,3.86
2017-05-19,4.85
2017-05-22,0.00
2017-05-28,8.94
2017-06-04,6.32
2017-06-06,5.69
2017-06-13,3.69
2017-06-21,7.48
2017-06-23,7.16
2017-06-25,0.00
2017-06-28,2.58
2017-07-01,4.14
2017-07-04,3.06
2017-07-09,1.63
2017-07-14,1.99
2017-07-15,1.69
2017-07-16,3.20
2017-07-17,3.45
2017-07-18,1.60
2017-07-20,1.50
2017-07-27,0.10
2017-09-01,0.00
2017-09-03,0.10
2017-09-06,0.00
2017-09-08,0.00
2017-09-10,0.00
2017-09-16,0.00
2017-09-22,0.10
2017-09-25,0.00
2017-09-26,0.10
2017-09-29,0.10
2017-09-30,0.00
2017-10-03,0.10
2017-10-07,0.10
2017-10-09,0.10
2017-10-15,0.62
2017-10-17,0.52
2017-10-19,0.42
2017-10-20,0.42
2017-10-23,0.21
2017-10-26,0.00
2017-10-28,0.10
2017-10-31,0.42
2017-11-03,0.42
2017-11-06,1.05
2017-11-07,0.74
2017-11-09,0.63
2017-11-12,0.63
2017-11-15,0.53
2017-11-17,0.74
2017-11-23,0.85
2017-11-25,0.85
2017-12-04,0.53
2017-12-05,0.53
2017-12-08,0.43
2017-12-10,0.43
2017-12-11,0.43
2017-12-12,0.43
2017-12-16,0.22
2017-12-19,0.12
2017-12-23,0.13
2017-12-28,0.13
2017-12-30,0.13
2017-12-31,0.13
2018-01-02,0.34
2018-01-09,0.35
2018-01-11,0.25
2018-01-25,2.97
2018-01-30,2.13
2018-02-03,1.61
2018-02-07,1.51
2018-02-10,1.61
2018-02-21,1.72
2018-02-24,3.49
2018-02-28,1.72
2018-03-01,2.24
2018-03-04,4.01
2018-03-05,4.94
2018-03-08,4.73
2018-03-16,4.31
2018-03-17,4.31
2018-03-18,3.99
2018-03-19,3.78
2018-03-22,3.36
2018-03-23,3.15
2018-04-06,1.88
2018-04-09,2.59
2018-04-10,3.30
2018-04-14,3.80
2018-04-18,4.19
2018-04-26,4.77
2018-04-27,4.36
2018-05-08,2.62
2018-05-10,2.31
2018-05-13,2.10
2018-05-17,2.39
2018-05-20,3.98
2018-05-22,2.48
2018-05-24,5.16
2018-05-28,7.42
2018-06-05,5.46
2018-06-10,6.44
2018-06-13,1.85
2018-06-17,1.93
2018-06-23,3.71
2018-06-26,4.80
2018-06-28,4.58
2018-07-02,4.05
2018-07-09,1.40
2018-07-10,1.30
2018-07-12,1.09
2018-07-15,0.98
2018-07-22,0.15
2018-07-23,0.15
2018-07-28,0.13
2018-08-06,0.39
2018-08-08,0.19
2018-08-09,0.18
2018-08-12,0.17
2018-08-14,0.16
2018-08-17,0.25
2018-08-18,0.35
2018-08-24,0.62
2018-08-28,0.51
