Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-02,1.84
2016-01-03,2.35
2016-01-04,2.55
2016-01-06,3.17
2016-01-07,3.57
2016-01-08,3.78
2016-01-09,3.88
2016-01-10,4.18
2016-01-13,3.88
2016-01-14,4.69
2016-01-15,5.20
2016-01-16,5.30
2016-01-18,5.81
2016-01-19,5.81
2016-01-21,5.71
2016-01-22,5.60
2016-01-23,5.09
2016-01-24,5.19
2016-01-26,4.89
2016-01-27,4.99
2016-01-30,4.68
2016-02-01,4.48
2016-02-04,4.17
2016-02-06,3.86
2016-02-08,5.28
2016-02-10,5.69
2016-02-11,5.99
2016-02-12,6.20
2016-02-13,6.40
2016-02-14,6.09
2016-02-16,5.68
2016-02-18,5.48
2016-02-19,5.38
2016-02-20,5.48
2016-02-21,2.94
2016-02-23,2.64
2016-02-24,2.84
2016-02-25,3.34
2016-02-29,2.53
2016-03-01,2.63
2016-03-03,4.25
2016-03-04,4.45
2016-03-06,4.55
2016-03-07,4.35
2016-03-08,4.15
2016-03-09,4.15
2016-03-10,3.94
2016-03-12,2.53
2016-03-13,2.33
2016-03-14,2.83
2016-03-15,2.73
2016-03-17,5.05
2016-03-18,8.28
2016-03-19,8.48
2016-03-20,8.38
2016-03-21,7.47
2016-03-25,3.73
2016-03-28,3.63
2016-04-03,2.72
2016-04-05,8.06
2016-04-08,8.16
2016-04-09,7.65
2016-04-10,7.05
2016-04-11,5.23
2016-04-12,4.03
2016-04-14,3.12
2016-04-15,3.52
2016-04-16,5.03
2016-04-18,6.74
2016-04-19,6.43
2016-04-21,6.13
2016-04-23,3.11
2016-04-24,3.92
2016-04-25,5.62
2016-04-26,6.03
2016-04-27,4.32
2016-04-28,3.21
2016-05-06,9.43
2016-05-08,8.62
2016-05-11,6.41
2016-05-14,4.21
2016-05-17,8.71
2016-05-19,8.11
2016-05-20,7.80
2016-05-21,6.80
2016-05-22,6.90
2016-05-24,5.80
2016-05-25,5.60
2016-06-01,4.40
2016-06-03,4.40
2016-06-04,3.80
2016-06-05,1.70
2016-06-06,0.60
2016-06-07,3.30
2016-06-09,10.4
2016-06-10,13.9
2016-06-11,12.2
2016-06-13,10.2
2016-06-14,8.40
2016-06-16,1.50
2016-06-18,5.40
2016-06-19,8.40
2016-06-26,6.60
2016-06-30,4.40
2016-07-01,4.60
2016-07-03,3.60
2016-07-05,0.70
2016-07-08,9.79
2016-07-10,1.85
2016-07-11,1.83
2016-07-13,1.62
2016-07-14,0.66
2016-07-15,0.66
2016-07-17,0.46
2016-07-18,0.37
2016-07-21,0.45
2016-07-22,0.18
2016-07-23,0.09
2016-07-24,0.17
2016-07-25,0.09
2016-07-26,0.17
2016-07-27,0.34
2016-07-29,0.00
2016-07-30,0.00
2016-07-31,0.16
2016-08-01,0.41
2016-08-07,0.08
2016-08-08,0.00
2016-08-09,0.00
2016-08-10,0.00
2016-08-11,0.00
2016-08-12,0.00
2016-08-17,0.41
2016-08-18,0.20
2016-08-20,1.52
2016-08-25,0.31
2016-08-29,0.20
2016-09-02,0.10
2016-09-04,0.51
2016-09-09,0.00
2016-09-11,0.00
2016-09-13,0.00
2016-09-16,0.00
2016-09-19,0.83
2016-09-20,0.93
2016-09-21,0.82
2016-09-25,0.21
2016-09-29,0.00
2016-10-01,0.00
2016-10-03,0.00
2016-10-07,0.00
2016-10-08,0.00
2016-10-09,0.00
2016-10-10,0.00
2016-10-13,0.00
2016-10-14,0.00
2016-10-17,0.00
2016-10-18,0.00
2016-10-19,0.00
2016-10-20,0.00
2016-10-21,1.87
2016-10-22,3.36
2016-10-24,3.12
2016-10-26,4.24
2016-10-27,5.27
2016-10-30,4.75
2016-10-31,4.79
2016-11-02,4.98
2016-11-04,4.35
2016-11-06,4.16
2016-11-08,3.74
2016-11-09,3.85
2016-11-10,3.96
2016-11-11,3.86
2016-11-12,3.65
2016-11-18,3.34
2016-11-19,2.92
2016-11-22,2.61
2016-11-24,2.61
2016-11-25,2.51
2016-11-26,2.51
2016-11-28,2.09
2016-11-30,2.30
2016-12-02,4.18
2016-12-03,4.70
2016-12-04,5.96
2016-12-05,6.90
2016-12-07,5.85
2016-12-14,4.50
2016-12-15,4.18
2016-12-17,4.08
2016-12-21,4.19
2016-12-22,3.77
2016-12-23,3.87
2016-12-24,4.19
2016-12-25,4.08
2016-12-27,3.04
2016-12-29,2.72
2016-12-30,4.09
2016-12-31,6.60
2017-01-01,7.76
2017-01-02,7.65
2017-01-03,6.82
2017-01-04,5.77
2017-01-07,4.20
2017-01-09,5.04
2017-01-10,5.67
2017-01-12,5.04
2017-01-14,4.72
2017-01-15,2.20
2017-01-16,3.47
2017-01-17,0.11
2017-01-31,5.46
2017-02-01,5.27
2017-02-02,5.31
2017-02-04,5.10
2017-02-07,4.84
2017-02-08,4.53
2017-02-09,4.53
2017-02-10,4.53
2017-02-11,4.53
2017-02-12,4.42
2017-02-14,4.42
2017-02-16,4.21
2017-02-17,4.32
2017-02-19,4.00
2017-02-20,3.68
2017-02-21,3.68
2017-02-22,3.58
2017-02-27,2.74
2017-03-01,2.53
2017-03-02,0.00
2017-03-03,1.89
2017-03-05,1.58
2017-03-06,1.79
2017-03-11,1.79
2017-03-13,2.42
2017-03-15,2.11
2017-03-17,2.42
2017-03-19,2.32
2017-03-21,1.99
2017-03-22,1.99
2017-03-23,1.78
2017-03-24,1.78
2017-03-25,1.77
2017-03-26,1.66
2017-03-28,1.35
2017-03-30,1.13
2017-03-31,1.03
2017-04-01,0.72
2017-04-02,1.13
2017-04-03,0.82
2017-04-04,1.22
2017-04-05,2.03
2017-04-07,0.00
2017-04-08,0.00
2017-04-10,9.54
2017-04-11,10.1
2017-04-12,4.29
2017-04-13,4.19
2017-04-18,6.41
2017-04-19,5.31
2017-04-20,4.91
2017-04-22,4.29
2017-04-25,3.88
2017-04-26,3.67
2017-04-27,3.67
2017-04-28,0.19
2017-04-29,0.00
2017-04-30,0.77
2017-05-01,4.78
2017-05-02,2.48
2017-05-03,1.52
2017-05-04,1.61
2017-05-05,1.80
2017-05-07,2.54
2017-05-11,2.33
2017-05-12,2.42
2017-05-13,2.60
2017-05-14,4.44
2017-05-15,4.81
2017-05-17,3.86
2017-05-18,4.94
2017-05-23,0.00
2017-05-24,0.00
2017-05-25,0.09
2017-05-26,0.00
2017-05-28,7.85
2017-05-29,7.49
2017-05-31,6.82
2017-06-01,7.06
2017-06-02,6.74
2017-06-03,6.53
2017-06-04,6.21
2017-06-05,6.21
2017-06-07,5.48
2017-06-08,4.84
2017-06-09,4.95
2017-06-10,4.63
2017-06-11,4.32
2017-06-13,3.90
2017-06-14,3.37
2017-06-15,3.48
2017-06-17,2.42
2017-06-18,1.58
2017-06-21,7.48
2017-06-22,7.58
2017-06-24,6.84
2017-06-25,2.63
2017-06-27,1.72
2017-06-28,3.43
2017-06-29,4.83
2017-07-01,4.04
2017-07-03,2.40
2017-07-09,1.53
2017-07-11,1.47
2017-07-12,1.93
2017-07-13,2.16
2017-07-14,1.69
2017-07-15,1.61
2017-07-17,2.93
2017-07-22,0.60
2017-07-23,0.30
2017-07-30,0.10
2017-07-31,0.10
2017-09-01,0.00
2017-09-03,0.00
2017-09-05,0.10
2017-09-06,0.00
2017-09-08,0.00
2017-09-10,0.00
2017-09-11,0.00
2017-09-12,0.00
2017-09-13,0.00
2017-09-18,0.00
2017-09-19,0.10
2017-09-20,0.10
2017-09-21,0.10
2017-09-22,0.00
2017-09-24,0.10
2017-09-26,0.00
2017-09-30,0.00
2017-10-01,0.10
2017-10-02,0.10
2017-10-03,0.00
2017-10-04,0.00
2017-10-06,0.00
2017-10-08,0.10
2017-10-09,0.10
2017-10-11,1.24
2017-10-13,0.52
2017-10-14,0.52
2017-10-16,0.52
2017-10-18,0.52
2017-10-19,0.42
2017-10-20,0.42
2017-10-23,0.21
2017-10-24,0.10
2017-10-26,0.00
2017-10-27,0.00
2017-10-28,0.10
2017-10-29,0.21
2017-10-30,0.42
2017-10-31,0.42
2017-11-01,0.42
2017-11-02,0.42
2017-11-03,0.42
2017-11-06,0.74
2017-11-07,0.84
2017-11-08,0.63
2017-11-09,0.63
2017-11-10,0.74
2017-11-11,0.74
2017-11-17,0.63
2017-11-18,0.63
2017-11-19,0.74
2017-11-21,0.85
2017-11-22,0.85
2017-11-23,0.85
2017-11-24,0.85
2017-11-25,0.85
2017-11-26,0.96
2017-11-28,1.17
2017-11-29,1.06
2017-12-02,0.64
2017-12-03,0.64
2017-12-06,0.43
2017-12-10,0.54
2017-12-11,0.43
2017-12-14,0.33
2017-12-15,0.22
2017-12-18,0.12
2017-12-19,0.12
2017-12-20,0.12
2017-12-22,0.02
2017-12-23,0.13
2017-12-24,0.02
2017-12-25,0.23
2017-12-26,0.65
2017-12-30,0.13
2018-01-01,0.34
2018-01-04,0.35
2018-01-06,0.35
2018-01-10,0.35
2018-01-12,0.35
2018-01-13,1.08
2018-01-15,0.67
2018-01-17,0.36
2018-01-18,0.46
2018-01-20,0.46
2018-01-21,0.46
2018-01-22,0.57
2018-01-23,2.03
2018-01-27,3.08
2018-01-28,2.66
2018-01-29,2.24
2018-01-30,2.13
2018-02-02,1.72
2018-02-03,1.61
2018-02-04,1.51
2018-02-05,1.40
2018-02-06,1.51
2018-02-07,1.51
2018-02-08,1.51
2018-02-10,1.61
2018-02-12,1.82
2018-02-13,1.82
2018-02-16,2.45
2018-02-18,2.24
2018-02-19,2.14
2018-02-21,1.72
2018-02-23,2.55
2018-02-24,3.80
2018-03-02,3.28
2018-03-05,4.63
2018-03-07,5.04
2018-03-08,4.83
2018-03-09,4.94
2018-03-10,5.25
2018-03-11,5.35
2018-03-12,5.14
2018-03-13,5.04
2018-03-14,4.83
2018-03-15,4.73
2018-03-16,4.73
2018-03-17,4.31
2018-03-18,3.99
2018-03-20,3.47
2018-03-24,2.22
2018-03-26,3.04
2018-03-28,2.01
2018-03-29,2.01
2018-03-31,1.28
2018-04-02,2.10
2018-04-04,2.60
2018-04-08,1.68
2018-04-09,2.18
2018-04-10,3.20
2018-04-13,3.80
