Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-03,2.35
2016-02-01,4.58
2016-02-02,4.47
2016-02-13,6.19
2016-02-20,5.48
2016-02-23,2.53
2016-03-05,4.55
2016-03-13,2.43
2016-03-18,7.37
2016-03-19,8.48
2016-03-20,8.48
2016-03-23,6.06
2016-03-29,3.73
2016-04-05,7.96
2016-04-08,8.26
2016-05-06,9.73
2016-05-12,4.21
2016-05-22,6.80
2016-06-03,3.40
2016-06-05,3.60
2016-06-11,11.9
2016-06-12,11.4
2016-06-14,8.40
2016-06-15,7.10
2016-06-20,9.30
2016-07-03,3.60
2016-07-11,1.83
2016-07-28,0.34
2016-07-31,0.16
2016-08-16,0.41
2016-08-29,0.20
2016-09-01,0.31
2016-09-10,0.00
2016-09-13,0.00
2016-09-24,0.41
2016-09-29,0.00
2016-10-02,0.00
2016-10-03,0.00
2016-10-06,0.00
2016-10-07,0.00
2016-10-23,2.12
2016-11-06,4.06
2016-11-07,3.24
2016-11-17,3.34
2016-11-20,2.71
2016-11-22,2.61
2016-11-27,2.51
2016-11-30,2.40
2016-12-11,5.33
2016-12-28,2.41
2017-01-07,4.09
2017-01-16,3.57
2017-02-02,5.33
2017-02-13,4.42
2017-02-14,4.32
2017-03-01,2.21
2017-03-10,1.37
2017-03-14,2.42
2017-03-23,1.78
2017-03-24,1.77
2017-04-11,9.73
2017-04-15,7.15
2017-04-17,7.11
2017-04-18,5.62
2017-04-22,4.39
2017-05-02,3.34
2017-05-05,1.80
2017-05-09,2.06
2017-05-11,2.33
2017-05-12,2.23
2017-05-20,4.28
2017-05-30,7.29
2017-06-17,2.74
2017-06-22,7.58
2017-06-26,0.00
2017-07-11,1.81
2017-07-12,2.05
2017-07-14,1.78
2017-07-19,1.40
2017-07-22,0.60
2017-07-29,0.10
2017-09-12,0.00
2017-09-14,0.10
2017-10-01,0.00
2017-10-04,0.10
2017-10-06,0.10
2017-10-09,0.10
2017-10-12,1.24
2017-10-16,0.52
2017-10-17,0.52
2017-10-22,0.21
2017-10-23,0.10
2017-10-24,0.10
2017-10-25,0.10
2017-11-15,0.42
2017-11-25,0.85
2017-12-01,0.85
2017-12-17,0.12
2017-12-19,0.12
2017-12-30,0.13
2018-01-21,0.46
2018-01-26,2.97
2018-02-05,1.40
2018-02-06,1.51
2018-02-08,1.51
2018-02-11,1.61
2018-02-23,2.76
2018-02-25,3.80
2018-03-06,5.15
2018-03-17,4.31
2018-03-19,3.78
2018-03-27,2.83
2018-04-09,2.08
2018-04-15,3.08
2018-04-19,5.51
2018-04-26,4.97
2018-05-06,2.82
2018-05-11,2.31
2018-05-16,2.39
2018-05-24,5.25
2018-05-30,5.63
2018-06-09,7.47
2018-06-21,2.72
2018-06-26,4.80
2018-07-06,2.83
2018-07-18,0.57
2018-07-22,0.15
2018-08-08,0.29
2018-08-09,0.18
2018-08-19,0.54
2018-08-25,0.62
2018-08-27,0.71
2018-09-02,0.21
2018-09-09,0.54
2018-09-14,0.56
2018-09-27,1.2
2018-10-03,2.1
2018-10-11,1.0
2018-10-30,1.5
2018-11-09,2.4
2018-11-10,3.2
2018-11-11,3.4
2018-11-18,3.0
2018-11-20,2.8
2018-11-21,2.8
2018-11-24,2.3
2018-12-03,1.9
2018-12-06,3.7
2018-12-07,4.5
2018-12-15,2.6
2019-01-09,5.0
2019-01-12,4.5
2019-01-13,4.2
2019-01-17,3.1
2019-01-22,2.2
2019-01-26,1.5
2019-01-28,3.0
2019-01-30,3.0
2019-02-02,3.6
2019-02-08,1.1
2019-02-11,1.3
2019-02-17,2.5
2019-02-18,2.6
2019-02-21,2.8
2019-02-26,3.0
2019-02-28,4.7
2019-03-09,2.8
2019-03-11,2.3
2019-03-20,3.6
2019-03-21,3.6
2019-03-22,4.2
2019-03-24,3.9
2019-03-25,2.8
2019-03-29,2.8
2019-04-04,3.5
2019-04-06,3.9
2019-07-07,2.9
2019-07-09,3.1
2019-07-10,4.7
2019-07-13,5.0
2019-07-22,1.9
2019-07-25,1.4
2019-07-29,0.7
2019-07-30,0.6
2019-08-23,1.2
2019-08-24,1.3
2019-08-25,1.0
2019-08-28,0.3
2019-10-20,1.6
2019-10-22,0.9
2019-10-24,0.9
2019-11-06,1.2
2019-11-07,1.2
2019-11-09,1.1
2019-11-18,1.1
2019-11-23,1.0
2019-11-26,1.0
2019-12-11,2.1
2019-12-12,2.2
2019-12-15,2.1
2020-01-11,1.5
2020-01-19,2.4
2020-01-21,1.9
2020-01-23,2.3
2020-01-24,2.5
2020-01-26,2.3
2020-01-30,3.5
2020-02-03,3.4
2020-02-20,3.2
2020-02-25,3.8
2020-03-01,4.2
2020-03-14,2.8
2020-03-17,3.3
2020-03-26,3.3
2020-03-27,2.7
2020-04-01,3.1
2020-04-02,3.3
2020-04-12,3.0
2020-04-17,2.6
2020-04-26,2.0
2020-04-30,4.4
2020-05-08,5.4
2020-05-10,5.8
2020-05-16,3.0
2020-05-18,3.2
2020-06-02,5.8
2020-06-13,5.0
2020-06-26,3.3
2020-06-27,3.8
2020-07-23,1.0
2020-07-28,1.4
2020-07-31,1.2
2020-08-11,0.8
2020-08-28,0.4
2020-09-03,0.4
2020-09-13,0.2
2020-10-27,0.8
2020-11-01,0.7
2020-11-14,0.1
2020-11-17,1.1
2020-11-19,0.6
2020-11-23,1.3
2020-11-25,1.5
2020-12-01,2.6
2020-12-04,2.6
2020-12-07,2.3
2020-12-24,1.9
2020-12-26,2.0
2020-12-29,1.6
2020-12-30,1.6
