Date,"Nitrate plus nitrite, water, in situ, mg/L as N"
2016-01-01,1.53
2016-01-03,2.04
2016-01-04,2.55
2016-01-05,2.76
2016-01-08,3.98
2016-01-11,3.78
2016-01-13,4.08
2016-01-18,5.81
2016-01-19,5.81
2016-01-20,5.91
2016-01-21,5.71
2016-01-24,5.09
2016-01-25,5.50
2016-01-26,5.09
2016-01-27,5.09
2016-01-29,4.99
2016-01-31,4.58
2016-02-02,4.48
2016-02-03,4.27
2016-02-05,4.68
2016-02-06,3.86
2016-02-08,5.08
2016-02-10,5.79
2016-02-11,6.09
2016-02-12,6.19
2016-02-13,6.19
2016-02-14,6.09
2016-02-16,5.58
2016-02-18,5.28
2016-02-19,5.27
2016-02-22,2.94
2016-02-23,2.94
2016-02-24,2.53
2016-02-25,2.43
2016-02-27,2.23
2016-03-07,4.25
2016-03-08,4.25
2016-03-11,2.63
2016-03-12,2.53
2016-03-15,2.53
2016-03-16,4.34
2016-03-18,8.28
2016-03-21,7.57
2016-03-22,6.66
2016-03-23,6.06
2016-03-24,4.84
2016-03-25,3.73
2016-03-29,3.73
2016-04-03,2.62
2016-04-09,7.55
2016-04-10,7.05
2016-04-12,2.11
2016-04-15,3.82
2016-04-20,6.23
2016-04-21,5.63
2016-04-30,4.11
2016-05-01,3.81
2016-05-06,9.63
2016-05-09,8.02
2016-05-10,6.41
2016-05-12,4.51
2016-05-15,7.21
2016-05-21,6.70
2016-05-22,6.90
2016-05-29,4.60
2016-05-30,4.40
2016-06-02,3.90
2016-06-06,0.00
2016-06-08,7.70
2016-06-09,8.20
2016-06-13,10.2
2016-06-14,10.1
2016-06-15,7.20
2016-06-16,6.40
2016-06-19,7.00
2016-06-20,9.10
2016-06-21,9.60
2016-06-23,9.40
2016-06-29,5.20
2016-07-01,4.60
2016-07-02,4.20
2016-07-03,2.90
2016-07-04,0.80
2016-07-06,5.29
2016-07-08,7.08
2016-07-12,1.82
2016-07-18,0.27
2016-07-20,0.54
2016-07-21,0.36
2016-07-22,0.35
2016-07-24,0.17
2016-07-25,0.09
2016-07-26,0.00
2016-07-28,0.42
2016-07-29,0.08
2016-07-30,0.00
2016-07-31,0.16
2016-08-01,0.65
2016-08-03,0.00
2016-08-05,2.18
2016-08-08,0.00
2016-08-10,0.00
2016-08-11,0.00
2016-08-12,0.00
2016-08-13,0.00
2016-08-14,0.36
2016-08-16,0.61
2016-08-17,0.51
2016-08-18,0.10
2016-08-21,1.22
2016-08-22,0.41
2016-08-23,0.31
2016-08-25,0.20
2016-08-26,0.20
2016-08-27,0.10
2016-08-28,0.10
2016-08-29,0.20
2016-08-30,0.00
2016-09-04,0.41
2016-09-05,0.00
2016-09-07,0.00
2016-09-15,0.00
2016-09-18,0.56
2016-09-20,0.92
2016-09-21,0.82
2016-09-26,0.10
2016-09-27,0.00
2016-09-28,0.00
2016-09-30,0.00
2016-10-01,0.00
2016-10-02,0.00
2016-10-04,0.00
2016-10-05,0.00
2016-10-06,0.00
2016-10-07,0.00
2016-10-08,0.00
2016-10-11,0.00
2016-10-13,0.00
2016-10-18,0.00
2016-10-22,2.62
2016-10-24,2.46
2016-10-27,5.27
2016-10-28,5.41
2016-10-29,4.93
2016-11-01,5.17
2016-11-02,5.09
2016-11-04,4.45
2016-11-05,4.15
2016-11-06,4.16
2016-11-08,3.65
2016-11-09,3.85
2016-11-11,3.86
2016-11-13,3.44
2016-11-16,3.44
2016-11-17,3.34
2016-11-18,3.23
2016-11-19,2.92
2016-11-22,2.61
2016-11-23,2.61
2016-11-24,1.98
2016-11-26,2.61
2016-11-27,2.51
2016-11-28,2.40
2016-11-29,2.19
2016-12-01,2.72
2016-12-05,7.00
2016-12-08,5.33
2016-12-12,5.02
2016-12-15,4.39
2016-12-22,3.87
2016-12-24,4.29
2016-12-25,3.98
2016-12-26,3.46
2016-12-30,3.88
2016-12-31,4.72
2017-01-01,7.76
2017-01-02,7.55
2017-01-04,6.29
2017-01-06,3.99
2017-01-07,4.09
2017-01-09,5.04
2017-01-14,4.30
2017-01-15,1.99
2017-01-16,4.52
2017-01-17,0.00
2017-01-31,5.45
2017-02-01,5.38
2017-02-04,5.07
2017-02-05,5.12
2017-02-06,4.95
2017-02-07,4.74
2017-02-08,4.53
2017-02-09,4.53
2017-02-10,4.53
2017-02-11,4.42
2017-02-13,4.42
2017-02-16,4.21
2017-02-20,3.68
2017-02-21,3.68
2017-02-22,3.58
2017-02-25,2.84
2017-02-28,2.74
2017-03-01,2.11
2017-03-02,0.00
2017-03-04,1.37
2017-03-05,1.58
2017-03-06,2.00
2017-03-07,0.63
2017-03-08,0.00
2017-03-10,1.68
2017-03-11,1.47
2017-03-12,2.21
2017-03-14,2.11
2017-03-16,2.11
2017-03-17,2.42
2017-03-18,2.42
2017-03-21,2.10
2017-03-22,1.89
2017-03-23,1.78
2017-03-24,1.77
